ID_Transaccion,Fecha,Producto,Categoria,Ciudad,Cantidad,Precio_Unitario,Costo_Unitario,Descuento_pct,Costo_Envio,Ingreso_Total,Costo_Total,Utilidad_Neta
1099,2023-10-02,Laptop Gamer Z,Laptops,Medellín,2,2500,1800,0.2,180,4000.0,3780,220.0
1567,2023-11-24,Laptop Gamer Z,Laptops,Cali,2,2500,1800,0.6,200,2000.0,3800,-1800.0
1018,2023-10-23,Smartphone Pro X,Smartphones,Leticia,4,800,550,0.0,1650,3200.0,3850,-650.0
1249,2023-09-13,Smartwatch Q,Wearables,Barranquilla,3,300,180,0.0,220,900.0,760,140.0
1492,2023-09-30,Smartwatch Q,Wearables,Cali,3,300,180,0.0,200,900.0,740,160.0
1649,2023-11-24,Smartphone Pro X,Smartphones,Bogotá,2,800,550,0.4,150,960.0,1250,-290.0
1233,2023-10-08,Smartphone Pro X,Smartphones,Bogotá,2,800,550,0.0,150,1600.0,1250,350.0
1441,2023-09-15,Laptop Gamer Z,Laptops,Bogotá,3,2500,1800,0.0,150,7500.0,5550,1950.0
1436,2023-11-29,Audifonos Bluetooth,Audio,Barranquilla,2,450,250,0.42,220,522.0000000000001,720,-197.9999999999999
1209,2023-11-15,Audifonos Bluetooth,Audio,Bogotá,1,450,250,0.0,150,450.0,400,50.0
1156,2023-11-13,Smartwatch Q,Wearables,Barranquilla,4,300,180,0.0,220,1200.0,940,260.0
1015,2023-09-11,Audifonos Bluetooth,Audio,Cartagena,2,450,250,0.0,250,900.0,750,150.0
1124,2023-09-20,Audifonos Bluetooth,Audio,Leticia,2,450,250,0.0,1650,900.0,2150,-1250.0
1040,2023-10-17,Laptop Gamer Z,Laptops,Bogotá,3,2500,1800,0.0,150,7500.0,5550,1950.0
1538,2023-11-24,Smartwatch Q,Wearables,Bogotá,2,300,180,0.4,150,360.0,510,-150.0
1372,2023-11-27,Smartphone Pro X,Smartphones,Bogotá,3,800,550,0.45,150,1320.0,1800,-480.0
1290,2023-11-20,Laptop Gamer Z,Laptops,Cali,3,2500,1800,0.0,200,7500.0,5600,1900.0
1279,2023-11-28,Smartwatch Q,Wearables,Leticia,1,300,180,0.45,1650,165.0,1830,-1665.0
1025,2023-10-01,Smartphone Pro X,Smartphones,Bogotá,2,800,550,0.0,150,1600.0,1250,350.0
1489,2023-09-12,Laptop Gamer Z,Laptops,Medellín,4,2500,1800,0.0,180,10000.0,7380,2620.0
1003,2023-10-19,Audifonos Bluetooth,Audio,Bogotá,4,450,250,0.0,150,1800.0,1150,650.0
1397,2023-11-04,Audifonos Bluetooth,Audio,Leticia,2,450,250,0.0,1650,900.0,2150,-1250.0
1575,2023-11-24,Smartwatch Q,Wearables,Bogotá,2,300,180,0.5,150,300.0,510,-210.0
1596,2023-11-24,Audifonos Bluetooth,Audio,Cartagena,4,450,250,0.4,250,1080.0,1250,-170.0
1533,2023-11-24,Audifonos Bluetooth,Audio,Medellín,2,450,250,0.6,180,360.0,680,-320.0
1057,2023-10-28,Smartphone Pro X,Smartphones,Medellín,3,800,550,0.0,180,2400.0,1830,570.0
1314,2023-10-08,Audifonos Bluetooth,Audio,Barranquilla,3,450,250,0.05,220,1282.5,970,312.5
1223,2023-11-09,Smartphone Pro X,Smartphones,Bogotá,2,800,550,0.0,150,1600.0,1250,350.0
1154,2023-10-28,Audifonos Bluetooth,Audio,Medellín,3,450,250,0.0,180,1350.0,930,420.0
1421,2023-11-20,Audifonos Bluetooth,Audio,Bogotá,4,450,250,0.0,150,1800.0,1150,650.0
1523,2023-11-24,Smartwatch Q,Wearables,Bogotá,2,300,180,0.5,150,300.0,510,-210.0
1534,2023-11-24,Smartwatch Q,Wearables,Barranquilla,4,300,180,0.6,220,480.0,940,-460.0
1020,2023-09-16,Smartwatch Q,Wearables,Barranquilla,4,300,180,0.2,220,960.0,940,20.0
1281,2023-09-24,Audifonos Bluetooth,Audio,Bogotá,2,450,250,0.0,150,900.0,650,250.0
1488,2023-10-01,Smartwatch Q,Wearables,Barranquilla,1,300,180,0.0,220,300.0,400,-100.0
1270,2023-09-09,Smartwatch Q,Wearables,Barranquilla,4,300,180,0.0,220,1200.0,940,260.0
1116,2023-11-05,Laptop Gamer Z,Laptops,Leticia,1,2500,1800,0.0,1650,2500.0,3450,-950.0
1609,2023-11-24,Laptop Gamer Z,Laptops,Medellín,1,2500,1800,0.4,180,1500.0,1980,-480.0
1050,2023-09-07,Smartwatch Q,Wearables,Barranquilla,3,300,180,0.0,220,900.0,760,140.0
1638,2023-11-24,Audifonos Bluetooth,Audio,Barranquilla,3,450,250,0.5,220,675.0,970,-295.0
1559,2023-11-24,Laptop Gamer Z,Laptops,Barranquilla,2,2500,1800,0.5,220,2500.0,3820,-1320.0
1485,2023-11-22,Laptop Gamer Z,Laptops,Medellín,4,2500,1800,0.0,180,10000.0,7380,2620.0
1087,2023-11-20,Smartphone Pro X,Smartphones,Cartagena,1,800,550,0.0,250,800.0,800,0.0
1135,2023-09-05,Smartwatch Q,Wearables,Medellín,3,300,180,0.0,180,900.0,720,180.0
1105,2023-11-20,Smartwatch Q,Wearables,Cali,4,300,180,0.0,200,1200.0,920,280.0
1493,2023-10-07,Laptop Gamer Z,Laptops,Cali,3,2500,1800,0.0,200,7500.0,5600,1900.0
1507,2023-11-24,Smartwatch Q,Wearables,Bogotá,4,300,180,0.6,150,480.0,870,-390.0
1081,2023-10-17,Audifonos Bluetooth,Audio,Cartagena,1,450,250,0.0,200,450.0,450,0.0
1212,2023-09-25,Audifonos Bluetooth,Audio,Barranquilla,2,450,250,0.0,220,900.0,720,180.0
1537,2023-11-24,Smartphone Pro X,Smartphones,Cartagena,3,800,550,0.6,250,960.0,1900,-940.0
1428,2023-11-21,Laptop Gamer Z,Laptops,Leticia,3,2500,1800,0.0,1650,7500.0,7050,450.0
1581,2023-11-24,Smartphone Pro X,Smartphones,Bogotá,2,800,550,0.4,150,960.0,1250,-290.0
1235,2023-10-28,Audifonos Bluetooth,Audio,Barranquilla,1,450,250,0.0,220,450.0,470,-20.0
1616,2023-11-24,Smartphone Pro X,Smartphones,Cartagena,3,800,550,0.6,250,960.0,1900,-940.0
1100,2023-09-14,Smartphone Pro X,Smartphones,Barranquilla,2,800,550,0.1,220,1440.0,1320,120.0
1620,2023-11-24,Smartphone Pro X,Smartphones,Bogotá,4,800,550,0.6,150,1280.0,2350,-1070.0
1257,2023-09-15,Audifonos Bluetooth,Audio,Cali,3,450,250,0.05,200,1282.5,950,332.5
1141,2023-11-13,Audifonos Bluetooth,Audio,Barranquilla,3,450,250,0.0,220,1350.0,970,380.0
1182,2023-10-27,Audifonos Bluetooth,Audio,Cali,3,450,250,0.0,200,1350.0,950,400.0
1037,2023-10-06,Laptop Gamer Z,Laptops,Medellín,4,2500,1800,0.0,180,10000.0,7380,2620.0
1582,2023-11-24,Smartphone Pro X,Smartphones,Bogotá,1,800,550,0.6,150,320.0,700,-380.0
1175,2023-09-04,Smartwatch Q,Wearables,Cali,3,300,180,0.15,200,765.0,740,25.0
1187,2023-11-12,Laptop Gamer Z,Laptops,Bogotá,1,2500,1800,0.0,150,2500.0,1950,550.0
1198,2023-11-25,Smartphone Pro X,Smartphones,Barranquilla,1,800,550,0.45,220,440.00000000000006,770,-329.99999999999994
1403,2023-09-08,Smartphone Pro X,Laptops,Bogotá,1,800,550,0.0,150,800.0,700,100.0
1646,2023-11-24,Smartphone Pro X,Smartphones,Cartagena,3,800,550,0.6,250,960.0,1900,-940.0
1454,2023-11-18,Smartwatch Q,Wearables,Leticia,4,300,180,0.0,1650,1200.0,2370,-1170.0
1311,2023-11-30,Smartwatch Q,Wearables,Cartagena,3,300,180,0.4,250,540.0,790,-250.0
1101,2023-09-21,Smartwatch Q,Wearables,Cartagena,2,300,180,0.0,250,600.0,610,-10.0
1368,2023-10-11,Laptop Gamer Z,Laptops,Medellín,4,2500,1800,0.0,180,10000.0,7380,2620.0
1264,2023-11-19,Audifonos Bluetooth,Audio,Cartagena,4,450,250,0.0,250,1800.0,1250,550.0
1426,2023-10-26,Smartphone Pro X,Smartphones,Cali,2,800,550,0.0,200,1600.0,1300,300.0
1159,2023-10-12,Smartwatch Q,Audio,Cartagena,3,300,180,0.15,250,765.0,790,-25.0
1196,2023-10-30,Smartphone Pro X,Smartphones,Medellín,1,800,550,0.0,180,800.0,730,70.0
1288,2023-10-27,Smartwatch Q,Wearables,Medellín,4,300,180,0.15,180,1020.0,900,120.0
1094,2023-11-14,Smartphone Pro X,Smartphones,Leticia,1,800,550,0.0,1650,800.0,2200,-1400.0
1445,2023-10-10,Smartwatch Q,Wearables,Barranquilla,4,300,180,0.0,220,1200.0,940,260.0
1542,2023-11-24,Laptop Gamer Z,Laptops,Medellín,1,2500,1800,0.4,180,1500.0,1980,-480.0
1366,2023-10-10,Smartphone Pro X,Smartphones,Medellín,3,800,550,0.05,180,2280.0,1830,450.0
1160,2023-10-26,Laptop Gamer Z,Laptops,Cali,1,2500,1800,0.0,200,2500.0,2000,500.0
1298,2023-09-06,Smartphone Pro X,Smartphones,Barranquilla,4,800,550,0.0,220,3200.0,2420,780.0
1621,2023-11-24,Laptop Gamer Z,Laptops,Bogotá,3,2500,1800,0.6,150,3000.0,5550,-2550.0
1336,2023-11-29,Audifonos Bluetooth,Audio,Leticia,4,450,250,0.45,1650,990.0000000000001,2650,-1660.0
1432,2023-10-06,Audifonos Bluetooth,Audio,Cartagena,1,450,250,0.0,250,450.0,500,-50.0
1039,2023-11-11,Smartwatch Q,Wearables,Bogotá,4,300,180,0.0,150,1200.0,870,330.0
1180,2023-11-18,Smartphone Pro X,Smartphones,Bogotá,4,800,550,0.0,150,3200.0,2350,850.0
1402,2023-10-27,Laptop Gamer Z,Laptops,Bogotá,1,2500,1800,0.0,150,2500.0,1950,550.0
1369,2023-09-18,Audifonos Bluetooth,Audio,Bogotá,3,450,250,0.0,150,1350.0,900,450.0
1213,2023-09-22,Smartwatch Q,Wearables,Barranquilla,2,300,180,0.05,220,570.0,580,-10.0
1613,2023-11-24,Smartphone Pro X,Smartphones,Bogotá,2,800,550,0.5,150,800.0,1250,-450.0
1306,2023-09-29,Smartwatch Q,Wearables,Bogotá,2,300,180,0.0,150,600.0,510,90.0
1051,2023-11-30,Smartwatch Q,Wearables,Cartagena,3,300,180,0.4,250,540.0,790,-250.0
1644,2023-11-24,Audifonos Bluetooth,Audio,Barranquilla,3,450,250,0.6,220,540.0,970,-430.0
1647,2023-11-24,Audifonos Bluetooth,Audio,Bogotá,2,450,250,0.6,150,360.0,650,-290.0
1075,2023-10-19,Laptop Gamer Z,Laptops,Bogotá,3,2500,1800,0.0,150,7500.0,5550,1950.0
1237,2023-10-21,Laptop Gamer Z,Laptops,Leticia,2,2500,1800,0.0,1650,5000.0,5250,-250.0
