ID_Transaccion,Fecha,Producto,Categoria,Ciudad,Cantidad,Precio_Unitario,Costo_Unitario,Descuento_pct,Costo_Envio
1099,2023-10-02,Laptop Gamer Z,Laptops,Medellín,2.0,2500,1800,0.2,180
1567,2023-11-24,Laptop Gamer Z,Laptops,Cali,2.0,2500,1800,0.6,200
1018,2023-10-23,Smartphone Pro X,Smartphones,Leticia,4.0,800,550,0.0,1650
1249,2023-09-13,Smartwatch Q,Wearables,Barranquilla,3.0,300,180,0.0,220
1492,2023-09-30,Smartwatch Q,Wearables,Cali,3.0,300,180,0.0,200
1649,2023-11-24,Smartphone Pro X,Smartphones,BOGOTÁ,2.0,800,550,0.4,150
1233,2023-10-08,Smartphone Pro X,Smartphones,Bogotá,2.0,800,550,0.0,150
1441,2023-09-15,Laptop Gamer Z,Laptops,Bogotá,3.0,2500,1800,0.0,150
1436,2023-11-29,Audifonos Bluetooth,Audio,Barranquilla,2.0,450,250,0.42,220
1209,2023-11-15,Audifonos Bluetooth,Audio,Bogotá,1.0,450,250,0.0,150
1156,2023-11-13,Smartwatch Q,Wearables,Barranquilla,4.0,300,180,0.0,220
1015,2023-09-11,Audifonos Bluetooth,Audio,Cartagena,2.0,450,250,0.0,250
1124,2023-09-20,Audifonos Bluetooth,Audio,Leticia,2.0,450,250,0.0,1650
1040,2023-10-17,Laptop Gamer Z,Laptops,bogota,3.0,2500,1800,0.0,150
1538,2023-11-24,Smartwatch Q,Wearables,Bogotá,2.0,300,180,0.4,150
1372,2023-11-27,Smartphone Pro X,Smartphones,Bogotá,3.0,800,550,0.45,150
1290,2023-11-20,Laptop Gamer Z,Laptops,Cali,3.0,2500,1800,0.0,200
1279,2023-11-28,Smartwatch Q,Wearables,Leticia,1.0,300,180,0.45,1650
1025,2023-10-01,Smartphone Pro X,Smartphones,Bogotá,2.0,800,550,0.0,150
1489,2023-09-12,Laptop Gamer Z,Laptops,Medellín,4.0,2500,1800,0.0,180
1003,2023-10-19,Audifonos Bluetooth,Audio,Bogotá,4.0,450,250,0.0,150
1397,2023-11-04,Audifonos Bluetooth,Audio,Leticia,2.0,450,250,0.0,1650
1575,2023-11-24,Smartwatch Q,Wearables,Bogotá,2.0,300,180,0.5,150
1596,2023-11-24,Audifonos Bluetooth,Audio,Cartagena,4.0,450,250,0.4,250
1533,2023-11-24,Audifonos Bluetooth,Audio,Medellín,2.0,450,250,0.6,180
1057,2023-10-28,Smartphone Pro X,Smartphones,Medellín,3.0,800,550,0.0,180
1314,2023-10-08,Audifonos Bluetooth,Audio,Barranquilla,3.0,450,250,0.05,220
1223,2023-11-09,Smartphone Pro X,Smartphones,Bogotá,2.0,800,550,0.0,150
1154,2023-10-28,Audifonos Bluetooth,Audio,Medellín,3.0,450,250,0.0,180
1421,2023-11-20,Audifonos Bluetooth,Audio,Bogotá,4.0,450,250,0.0,150
1523,2023-11-24,Smartwatch Q,Wearables,Bogotá,2.0,300,180,0.5,150
1534,2023-11-24,Smartwatch Q,Wearables,Barranquilla,4.0,300,180,0.6,220
1020,2023-09-16,Smartwatch Q,Wearables,Barranquilla,4.0,300,180,0.2,220
1281,2023-09-24,Audifonos Bluetooth,Audio,Bogotá,2.0,450,250,0.0,150
1488,2023-10-01,Smartwatch Q,Wearables,Barranquilla,1.0,300,180,0.0,220
1270,2023-09-09,Smartwatch Q,Wearables,Barranquilla,4.0,300,180,0.0,220
1116,2023-11-05,Laptop Gamer Z,Laptops,Leticia,1.0,2500,1800,0.0,1650
1609,2023-11-24,Laptop Gamer Z,Laptops,Medellín,1.0,2500,1800,0.4,180
1050,2023-09-07,Smartwatch Q,Wearables,Barranquilla,3.0,300,180,0.0,220
1638,2023-11-24,Audifonos Bluetooth,Audio,Barranquilla,3.0,450,250,0.5,220
1559,2023-11-24,Laptop Gamer Z,Laptops,Barranquilla,2.0,2500,1800,0.5,220
1485,2023-11-22,Laptop Gamer Z,Laptops,Medellín,4.0,2500,1800,0.0,180
1087,2023-11-20,Smartphone Pro X,Smartphones,Cartagena,1.0,800,550,0.0,250
1135,2023-09-05,Smartwatch Q,Wearables,Medellín,3.0,300,180,0.0,180
1105,2023-11-20,Smartwatch Q,Wearables,Cali,4.0,300,180,0.0,200
