ID_Transaccion,Fecha,Producto,Categoria,Ciudad,Cantidad,Precio_Unitario,Costo_Unitario,Descuento_pct,Costo_Envio
1340,2023-09-21,Audifonos Bluetooth,Audio,Barranqilla,4.0,450,250,0.0,150
1041,2023-09-03,Smartwatch Q,Wearables,Cali,2.0,300,180,0.05,200
1187,2023-11-12,Laptop Gamer Z,Laptops,Bogotá,1.0,2500,1800,0.0,150
1477,2023-10-31,Laptop Gamer Z,Laptops,Cali,3.0,2500,1800,0.0,200
1031,2023-09-29,Smartwatch Q,Wearables,Leticia,3.0,300,180,0.0,1650
1174,2023-10-24,Laptop Gamer Z,Laptops,Bogotá,3.0,2500,1800,0.0,150
1051,2023-11-30,Smartwatch Q,Wearables,Cartagena,3.0,300,180,0.4,250
1119,2023-11-15,Smartphone Pro X,Smartphones,Cartagena,2.0,800,550,0.0,250
1189,2023-09-05,Audifonos Bluetooth,Audio,Cali,2.0,450,250,0.0,200
1387,2023-10-13,Laptop Gamer Z,Laptops,Leticia,3.0,2500,1800,0.2,1650
1050,2023-09-07,Smartwatch Q,Wearables,Barranquilla,3.0,300,180,0.0,220
1236,2023-09-28,Smartwatch Q,Wearables,Bogotá,4.0,300,180,0.0,150
1054,2023-10-26,Smartwatch Q,Wearables,Cali,3.0,300,180,0.2,200
1127,2023-11-11,Smartwatch Q,Wearables,Barranquilla,3.0,300,180,0.0,220
1153,2023-11-03,Smartphone Pro X,Smartphones,Leticia,4.0,800,550,0.0,1650
1007,2023-10-26,Smartphone Pro X,Smartphones,Medellín,4.0,800,550,0.15,180
1355,2023-09-23,Laptop Gamer Z,Laptops,Leticia,2.0,2500,1800,0.0,1650
1215,2023-11-17,Smartwatch Q,Wearables,Cartagena,3.0,300,180,0.15,250
1471,2023-09-23,Smartwatch Q,Wearables,Leticia,3.0,300,180,0.0,1650
1200,2023-11-24,Smartwatch Q,Wearables,Bogotá,2.0,300,180,0.4,150
1390,2023-10-18,Smartwatch Q,Wearables,Cali,2.0,300,180,0.0,200
1491,2023-10-23,Laptop Gamer Z,Laptops,Barranquilla,2.0,2500,1800,0.0,220
1308,2023-09-06,Audifonos Bluetooth,Audio,Cartagena,3.0,450,250,0.0,250
1452,2023-11-10,Audifonos Bluetooth,Audio,Medellín,3.0,450,250,0.05,180
1448,2023-10-31,Smartwatch Q,Wearables,Leticia,3.0,300,180,0.0,1650
1371,2023-10-11,Smartphone Pro X,Smartphones,Cartagena,4.0,800,550,0.0,250
1238,2023-10-23,Audifonos Bluetooth,Audio,Cartagena,1.0,450,250,0.0,250
1247,2023-09-09,Smartphone Pro X,Smartphones,Cali,2.0,800,550,0.0,200
1218,2023-11-13,Audifonos Bluetooth,Audio,Bogotá,4.0,450,250,0.05,150
1047,2023-10-22,Smartwatch Q,Wearables,Bogotá,2.0,300,180,0.0,150
1264,2023-11-19,Audifonos Bluetooth,Audio,Cartagena,4.0,450,250,0.0,250
1087,2023-11-20,Smartphone Pro X,Smartphones,Cartagena,1.0,800,550,0.0,250
1072,2023-10-22,Smartwatch Q,Wearables,Bogotá,3.0,300,180,0.0,150
1210,2023-10-27,Smartwatch Q,Wearables,Cali,4.0,300,180,0.0,200
1195,2023-09-19,Smartwatch Q,Wearables,Leticia,1.0,300,180,0.2,1650
1442,2023-11-26,Laptop Gamer Z,Laptops,Bogotá,4.0,2500,1800,0.4,150
1114,2023-11-16,Smartphone Pro X,Smartphones,Barranquilla,1.0,800,550,0.0,220
1008,2023-09-10,Smartwatch Q,Wearables,Barranquilla,1.0,300,180,0.0,220
1126,2023-09-21,Laptop Gamer Z,Laptops,Barranquilla,2.0,2500,1800,0.0,220
1213,2023-09-22,Smartwatch Q,Wearables,Barranquilla,2.0,300,180,0.05,220
1137,2023-10-01,Laptop Gamer Z,Laptops,Bogotá,4.0,2500,1800,0.2,150
1267,2023-09-15,Laptop Gamer Z,Laptops,Bogotá,1.0,2500,1800,0.1,150
1178,2023-10-24,Audifonos Bluetooth,Audio,Cartagena,2.0,450,250,0.0,250
1473,2023-09-13,Audifonos Bluetooth,Audio,Cali,1.0,450,250,0.0,200
1288,2023-10-27,Smartwatch Q,Wearables,Medellín,4.0,300,180,0.15,180
1317,2023-09-17,Smartphone Pro X,Smartphones,Medellín,1.0,800,550,0.0,180
1274,2023-09-05,Smartwatch Q,Wearables,Leticia,3.0,300,180,0.05,1650
1033,2023-09-10,Audifonos Bluetooth,Audio,Medellín,,450,250,0.0,180
1440,2023-09-17,Laptop Gamer Z,Laptops,Cali,3.0,2500,1800,0.0,200
1180,2023-11-18,Smartphone Pro X,Smartphones,Bogotá,4.0,800,550,0.0,150
1412,2023-09-25,Smartphone Pro X,Smartphones,Bogotá,1.0,800,550,0.0,150
1360,2023-10-18,Smartphone Pro X,Smartphones,Barranquilla,4.0,800,550,0.0,220
1155,2023-09-04,Audifonos Bluetooth,Audio,Bogotá,4.0,450,250,0.15,150
1295,2023-09-08,Audifonos Bluetooth,Audio,Medellín,4.0,450,250,0.0,180
1290,2023-11-20,Laptop Gamer Z,Laptops,Cali,3.0,2500,1800,0.0,200
1212,2023-09-25,Audifonos Bluetooth,Audio,Barranquilla,2.0,450,250,0.0,220
1329,2023-10-10,Smartphone Pro X,Smartphones,Medellín,4.0,800,550,0.0,180
1217,2023-10-14,Audifonos Bluetooth,Audio,Cali,4.0,450,250,0.0,200
1399,2023-10-03,Audifonos Bluetooth,Audio,Cali,4.0,450,250,0.0,200
1045,2023-10-31,Laptop Gamer Z,Laptops,Bogotá,4.0,2500,1800,0.0,150
1101,2023-09-21,Smartwatch Q,Wearables,Cartagena,2.0,300,180,0.0,250
1049,2023-11-18,Audifonos Bluetooth,Audio,Cartagena,2.0,450,250,0.0,250
1398,2023-09-03,Audifonos Bluetooth,Audio,Barranquilla,1.0,450,250,0.0,220
1372,2023-11-27,Smartphone Pro X,Smartphones,Bogotá,3.0,800,550,0.45,150
1472,2023-11-04,Smartphone Pro X,Smartphones,Bogotá,3.0,800,550,0.0,150
1432,2023-10-06,Audifonos Bluetooth,Audio,Cartagena,1.0,450,250,0.0,250
1349,2023-09-05,Audifonos Bluetooth,Audio,Medellín,1.0,450,250,0.15,180
1104,2023-10-21,Laptop Gamer Z,Laptops,Cali,1.0,2500,1800,0.0,200
1379,2023-09-28,Smartphone Pro X,Smartphones,Medellín,3.0,800,550,0.0,180
1426,2023-10-26,Smartphone Pro X,Smartphones,Cali,2.0,800,550,0.0,200
1094,2023-11-14,Smartphone Pro X,Smartphones,Leticia,1.0,800,550,0.0,1650
1359,2023-11-26,Smartwatch Q,Wearables,Cali,4.0,300,180,0.45,200
1116,2023-11-05,Laptop Gamer Z,Laptops,Leticia,1.0,2500,1800,0.0,1650
1405,2023-11-14,Audifonos Bluetooth,audio,Medellín,1.0,450,250,0.0,180
1385,2023-09-15,Smartwatch Q,Wearables,Bogotá,2.0,300,180,0.0,150
1058,2023-11-22,Smartwatch Q,Wearables,Leticia,2.0,300,180,0.05,1650
1421,2023-11-20,Audifonos Bluetooth,Audio,Bogotá,4.0,450,250,0.0,150
1235,2023-10-28,Audifonos Bluetooth,Audio,Barranquilla,1.0,450,250,0.0,220
1100,2023-09-14,Smartphone Pro X,Smartphones,Barranquilla,2.0,800,550,0.1,220
1459,2023-10-14,Audifonos Bluetooth,Audio,Barranquilla,1.0,450,250,0.0,220
1004,2023-10-07,Laptop Gamer Z,Laptops,Bogotá,3.0,2500,1800,0.0,150
1156,2023-11-13,Smartwatch Q,Wearables,Barranquilla,4.0,300,180,0.0,220
1310,2023-09-29,Laptop Gamer Z,Laptops,Barranquilla,1.0,2500,1800,0.0,220
1323,2023-10-27,Laptop Gamer Z,Laptops,Cali,3.0,2500,1800,0.0,200
1157,2023-10-20,Laptop Gamer Z,Laptops,Medellín,4.0,2500,1800,0.0,180
1461,2023-11-07,Audifonos Bluetooth,Audio,Barranquilla,2.0,450,250,0.0,220
1300,2023-09-13,Smartphone Pro X,Smartphones,Leticia,3.0,800,550,0.0,1650
1085,2023-11-20,Laptop Gamer Z,Laptops,Barranquilla,2.0,2500,1800,0.0,220
1365,2023-09-20,Smartphone Pro X,Smartphones,Bogotá,2.0,800,550,0.0,150
1352,2023-09-08,Audifonos Bluetooth,Audio,Leticia,2.0,450,250,0.0,1650
1209,2023-11-15,Audifonos Bluetooth,Audio,Bogotá,1.0,450,250,0.0,150
1092,2023-10-10,Smartwatch Q,Wearables,Bogotá,2.0,300,180,0.0,150
